Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
132HERCARH,HERRINGBONE CARRARA HONED CHIP SIZE 130X25X7MM SHEET SIZE 372X266X7 10.1 SHEETS/M2 10SH/BOX=0.99M2,HERRINGBONE,,0.0000,1.8900,M2
132HERCARH -01,HERRINGBONE CARRARA HONED CHIP SIZE 130X25X7MM SHEET SIZE 372X266X7 10.1 SHEETS/M2 10SH/BOX=0.99M2,HERRINGBONE,,0.0000,0.4620,M2
132HERCARH -02,HERRINGBONE CARRARA HONED CHIP SIZE 130X25X7MM SHEET SIZE 372X266X7 10.1 SHEETS/M2 10SH/BOX=0.99M2,HERRINGBONE,,0.0000,0.0000,M2
132HERCARH -03,HERRINGBONE CARRARA HONED CHIP SIZE 130X25X7MM SHEET SIZE 372X266X7 10.1 SHEETS/M2 10SH/BOX=0.99M2,HERRINGBONE,,3.0000,33.6300,M2
132HERCARH -04,HERRINGBONE CARRARA HONED CHIP SIZE 130X25X7MM SHEET SIZE 372X266X7 10.1 SHEETS/M2 10SH/BOX=0.99M2,HERRINGBONE,,0.0000,124.7000,M2
205HERCARH,"HERRINGBONE CARRARA HONED
CHIP SIZE 200X50X10MM SHEET SIZE 293X285X10MM  11.97 SHEETS/M2
5 SHEETS/BOX=0.417M2
SH: A",HERRINGBONE,,58.1820,60.1200,M2
205HERCARH -01,"HERRINGBONE CARRARA HONED CHIP SIZE 200X50X10MM SHEET SIZE 293X285X10MM 11.97 SHEETS/M2 5 SHEETS/BOX=0.417M2
SH: B",HERRINGBONE,,0.0000,18.9499,M2
205HERCARH -02,HERRINGBONE CARRARA HONED CHIP SIZE 200X50X10MM SHEET SIZE 293X285X10MM 11.97 SHEETS/M2 5 SHEETS/BOX=0.417M2,HERRINGBONE,,0.0000,90.2000,M2
25HEXCALH,"HEXAGON CALACATTA GOLD HONED  CHIP SIZE 25x25x7MM SHEET SIZE 280x295MM
12 SHEETS/M2 10SH/BOX=0.826M2",HEXAGON,,0.0000,52.0400,M2
25HEXCALH-1,"HEXAGON CALACATTA GOLD HONED  CHIP SIZE 25x25x7MM SHEET SIZE 280x295MM
12 SHEETS/M2 10SH/BOX=0.826M2",HEXAGON,,0.0000,19.5228,M2
25HEXCARH,"HEXAGONAL CARRARA HONED 
CHIP SIZE 25X25X7MM
SHEET SIZE 280X295MM
12 SHEETS/M2 10SH/BOX=0.826M2",HEXAGON,,0.0000,0.2626,M2
25HEXCARH-1,HEXAGONAL CARRARA HONED CHIP SIZE 25X25X7MM SHEET SIZE 280X295MM 12 SHEETS/M2 10SH/BOX=0.826M2,HEXAGON,,0.0000,2.6666,M2
25HEXCARH-2,HEXAGONAL CARRARA HONED CHIP SIZE 25X25X7MM SHEET SIZE 280X295MM 12 SHEETS/M2 10SH/BOX=0.826M2,HEXAGON,,43.4760,45.0400,M2
25HEXCARH-3,HEXAGONAL CARRARA HONED CHIP SIZE 25X25X10MM SHEET SIZE 280X295MM 12 SHEETS/M2 10SH/BOX=0.826M2,HEXAGON,,0.0000,48.3000,M2
25HEXCARH-4,HEXAGONAL CARRARA HONED CHIP SIZE 25X25X7MM SHEET SIZE 280X295MM 12 SHEETS/M2 10SH/BOX=0.826M2,HEXAGON,,11.9730,13.0400,M2
25HEXCARH-5,EXAGONAL CARRARA HONED CHIP SIZE 25X25X7MM SHEET SIZE 280X295MM 12 SHEETS/M2 10SH/BOX=0.826M2,HEXAGON,,0.0000,52.0400,M2
